INSTANCIA 150_150_3

Custo: 1963.000000
Vertices: 64
Tempo: 0.001220
Label	|	Custo
 145	|	20.000
 115	|	20.000
  82	|	20.000
  14	|	20.000
 106	|	21.000
  34	|	21.000
 107	|	22.000
  81	|	22.000
  65	|	22.000
  54	|	22.000
  52	|	22.000
  24	|	22.000
 129	|	23.000
 119	|	23.000
 110	|	23.000
  96	|	23.000
  83	|	23.000
  60	|	23.000
  17	|	23.000
 144	|	24.000
 113	|	25.000
   6	|	25.000
   4	|	25.000
 105	|	26.000
 100	|	26.000
  93	|	26.000
  86	|	26.000
  21	|	26.000
 128	|	27.000
  89	|	28.000
  77	|	42.000
  31	|	28.000
 112	|	29.000
  67	|	29.000
 150	|	30.000
 133	|	30.000
 123	|	30.000
  47	|	30.000
 146	|	31.000
 136	|	31.000
 109	|	32.000
  88	|	32.000
  49	|	33.000
 125	|	34.000
  30	|	34.000
 139	|	35.000
  99	|	35.000
  48	|	35.000
 114	|	39.000
  40	|	39.000
 140	|	40.000
  35	|	40.000
   2	|	40.000
 108	|	41.000
 102	|	41.000
  92	|	41.000
  85	|	42.000
  55	|	43.000
 121	|	44.000
 138	|	45.000
  39	|	45.000
 122	|	47.000
 111	|	48.000
  98	|	49.000
=====

