INSTANCIA 250_750_3

Custo: 2336.000000
Vertices: 75
Tempo: 0.002302
Label	|	Custo
 110	|	23.000
 144	|	24.000
  32	|	27.000
 212	|	24.000
 133	|	30.000
  74	|	22.000
  24	|	22.000
 185	|	21.000
  84	|	42.000
  34	|	21.000
 250	|	32.000
 228	|	29.000
 169	|	26.000
 101	|	23.000
 224	|	20.000
   7	|	27.000
 146	|	31.000
  65	|	22.000
 156	|	26.000
  86	|	26.000
 134	|	30.000
 204	|	23.000
 181	|	23.000
  11	|	35.000
 155	|	32.000
 141	|	24.000
 115	|	20.000
  59	|	26.000
  48	|	35.000
  54	|	22.000
 128	|	27.000
 180	|	23.000
  83	|	23.000
  31	|	28.000
  91	|	40.000
  47	|	30.000
 202	|	41.000
  93	|	26.000
  21	|	26.000
 236	|	32.000
  89	|	28.000
 125	|	34.000
 199	|	40.000
 129	|	23.000
  56	|	41.000
 243	|	42.000
 150	|	30.000
  39	|	45.000
 234	|	35.000
 192	|	21.000
  94	|	42.000
 237	|	36.000
 217	|	29.000
 112	|	29.000
 107	|	22.000
  60	|	23.000
 235	|	40.000
 109	|	32.000
  62	|	41.000
  51	|	42.000
 127	|	34.000
 184	|	43.000
  27	|	35.000
 232	|	44.000
 194	|	48.000
 124	|	30.000
 102	|	41.000
 205	|	35.000
 130	|	36.000
 247	|	37.000
 117	|	37.000
 241	|	39.000
 153	|	46.000
 201	|	32.000
  13	|	40.000
=====

