INSTANCIA 300_2000_3

Custo: 1602.000000
Vertices: 53
Tempo: 0.002046
Label	|	Custo
 152	|	24.000
 101	|	23.000
 279	|	23.000
  81	|	22.000
 185	|	21.000
  34	|	21.000
  82	|	20.000
 195	|	22.000
  24	|	22.000
 145	|	20.000
 192	|	21.000
 295	|	24.000
 106	|	21.000
 104	|	27.000
 119	|	23.000
  17	|	23.000
   9	|	30.000
   1	|	28.000
  74	|	22.000
  54	|	22.000
 144	|	24.000
 173	|	28.000
  83	|	23.000
 196	|	29.000
 247	|	37.000
 169	|	26.000
  21	|	26.000
 129	|	23.000
 179	|	30.000
 298	|	24.000
 263	|	22.000
 176	|	22.000
 126	|	39.000
  48	|	35.000
 161	|	37.000
 245	|	46.000
  69	|	30.000
  47	|	30.000
 220	|	47.000
 170	|	39.000
 288	|	42.000
  51	|	42.000
 248	|	33.000
  39	|	45.000
 116	|	39.000
  58	|	43.000
 223	|	46.000
  28	|	36.000
 172	|	42.000
  85	|	42.000
 140	|	40.000
 135	|	32.000
 171	|	44.000
=====

