INSTANCIA 300_500_3

Custo: 3337.000000
Vertices: 110
Tempo: 0.005844
Label	|	Custo
  34	|	21.000
 145	|	20.000
 103	|	24.000
 192	|	21.000
 193	|	22.000
 101	|	23.000
 166	|	25.000
  82	|	20.000
   9	|	30.000
 105	|	26.000
  86	|	26.000
  59	|	26.000
 107	|	22.000
  89	|	28.000
 110	|	23.000
  83	|	23.000
 252	|	29.000
 217	|	29.000
 203	|	30.000
 141	|	24.000
  69	|	30.000
  42	|	36.000
  57	|	25.000
  88	|	32.000
 169	|	26.000
 191	|	20.000
  14	|	20.000
   7	|	27.000
 125	|	34.000
 233	|	35.000
 185	|	21.000
 195	|	22.000
  74	|	22.000
 273	|	37.000
 150	|	30.000
  50	|	38.000
 261	|	23.000
 180	|	23.000
  17	|	23.000
 136	|	31.000
 265	|	32.000
 152	|	24.000
 215	|	33.000
 213	|	33.000
  46	|	33.000
 281	|	25.000
   6	|	25.000
 156	|	26.000
 100	|	26.000
  93	|	26.000
  21	|	26.000
  37	|	35.000
 239	|	27.000
 222	|	27.000
 128	|	27.000
 104	|	27.000
 278	|	28.000
 275	|	28.000
   1	|	28.000
  68	|	38.000
 196	|	29.000
 133	|	30.000
 124	|	30.000
 123	|	30.000
 115	|	20.000
 102	|	41.000
  29	|	31.000
  10	|	31.000
 155	|	32.000
 296	|	22.000
 263	|	22.000
 257	|	44.000
  65	|	22.000
  15	|	22.000
 266	|	34.000
 259	|	34.000
  45	|	34.000
 279	|	23.000
 245	|	46.000
 198	|	23.000
 119	|	23.000
  96	|	23.000
 295	|	24.000
 148	|	37.000
 244	|	38.000
 225	|	38.000
 227	|	39.000
 214	|	39.000
 199	|	40.000
  75	|	40.000
  72	|	40.000
   2	|	40.000
 240	|	28.000
  67	|	29.000
 210	|	30.000
  47	|	30.000
 127	|	34.000
 205	|	35.000
 130	|	36.000
 264	|	37.000
 140	|	40.000
 243	|	42.000
 172	|	42.000
 149	|	42.000
 226	|	43.000
 171	|	44.000
 162	|	44.000
 138	|	45.000
 246	|	46.000
 194	|	48.000
=====

